exam_system,section,region_or_subsection,maneuver_or_finding,source_item,patient_instruction_or_setup,examiner_technique,observe_or_positive_finding,function_or_clinical_use,suggested_checklist_label,suggested_options,include_when,exam_id
Abdomen,Organ Exam,Spleen,Palpate spleen,Abdomen 6,Inhale and exhale when asked,Left hand under lower left back lifting spleen anteriorly; right hand at left costal margin; palpate through respiratory cycle,Splenomegaly or tenderness,Screens spleen enlargement,Spleen palpation,Not palpable / Palpable / Tender,LUQ pain; hematologic disease; infection,abdomen_organ_exam_spleen_palpate_spleen
Abdomen,Organ Exam,Liver,Percuss liver span,Abdomen 7,Breathe normally,Percuss right MCL upward from umbilicus to dullness for lower border; percuss downward from below nipple to dullness for upper border; measure span,Abnormal liver span,Screens hepatomegaly,Liver span,Normal / Enlarged / Diminished / Not assessed,Liver disease; RUQ pain; volume overload,abdomen_organ_exam_liver_percuss_liver_span
Abdomen,Organ Exam,Liver,Palpate liver edge,Abdomen 8,Inhale and exhale when asked,Place right hand below liver edge at right MCL; deepen palpation during exhalation; maintain during inhalation; move cephalad to costal margin,Palpable edge or tenderness,Screens liver edge and tenderness,Liver edge,Not palpable / Palpable / Tender,RUQ pain; liver disease; heart failure,abdomen_organ_exam_liver_palpate_liver_edge
Abdomen,Advanced Maneuvers,RUQ,Murphy sign,Abdomen 9,Take a deep breath in while pressure is held,Press under right costal margin at right MCL with hand/thumb under ribcage,Pain with sudden inspiratory stop,Tests for cholecystitis,Murphy sign,Negative / Positive / Not assessed,RUQ pain; cholecystitis concern,abdomen_advanced_maneuvers_ruq_murphy_sign
Abdomen,Advanced Maneuvers,Peritoneal,Rebound tenderness,Abdomen 10,Say whether pain is worse when pressing or releasing,Press deeply away from painful area then release quickly,Pain worse on release,Tests for peritonitis,Rebound tenderness,Absent / Present / Not assessed,Peritoneal signs; acute abdomen,abdomen_advanced_maneuvers_peritoneal_rebound_tenderness
Abdomen,Advanced Maneuvers,Appendicitis,Psoas sign,Abdomen 11,Raise right leg against resistance or lie on left side for hip extension,Supine: hand proximal to right knee and apply resistance; alternative: left lateral decubitus and extend right hip,Right lower quadrant pain,Tests appendicitis irritation of psoas,Psoas sign,Negative / Positive / Not assessed,RLQ pain; appendicitis concern,abdomen_advanced_maneuvers_appendicitis_psoas_sign
Abdomen,Advanced Maneuvers,Appendicitis,Obturator sign,Abdomen 11,Relax right leg,Flex right hip and knee to 90 degrees; internally rotate right hip,Right lower quadrant pain,Tests appendicitis/pelvic irritation,Obturator sign,Negative / Positive / Not assessed,RLQ pain; appendicitis concern,abdomen_advanced_maneuvers_appendicitis_obturator_sign
Abdomen,Advanced Maneuvers,CVA,CVA tenderness,Abdomen 12,Sit upright,Place palm at costovertebral angle; strike dorsal surface of hand with ulnar side of fist bilaterally,Flank pain/tenderness,Tests pyelonephritis or renal tenderness,CVA tenderness,Absent / Right / Left / Bilateral,Pyelonephritis; flank pain; AKI; renal colic,abdomen_advanced_maneuvers_cva_cva_tenderness
Cardiopulmonary,Preparation,Equipment,Stethoscope hygiene,Cardiopulmonary prep,N/A,Wash or clean stethoscope before exam,Clean equipment,Reduces infection risk and follows exam checklist preparation,Stethoscope cleaned,Yes / No / Not available,"Before vital signs, pulmonary, vascular, or cardiac auscultation",cardiopulmonary_preparation_equipment_stethoscope_hygiene
Cardiopulmonary,Vital Signs,Vitals,Heart rate,Cardiopulmonary 1,Rest arm comfortably,Palpate radial pulse at least 15 seconds,Rate and regularity,Measures pulse rate,Heart rate,___,Routine vitals; cardiopulmonary concerns,cardiopulmonary_vital_signs_vitals_heart_rate
Cardiopulmonary,Vital Signs,Vitals,Respiratory rate,Cardiopulmonary 2,Rest quietly,Observe respiratory rate at least 15 seconds,Respiratory rate and pattern,Measures respiratory status,Respiratory rate,___,Routine vitals; dyspnea; infection; respiratory disease,cardiopulmonary_vital_signs_vitals_respiratory_rate
Cardiopulmonary,Vital Signs,Vitals,Blood pressure,Cardiopulmonary 3,Arm supported at heart level,Cuff snug above elbow crease; align artery marker; diaphragm over brachial artery; inflate 20-30 mmHg above normal; slowly deflate; Korotkoff appearance is systolic and disappearance is diastolic,Systolic and diastolic BP,Measures blood pressure,Blood pressure,___,Routine vitals; hypertension; shock; syncope,cardiopulmonary_vital_signs_vitals_blood_pressure
Cardiopulmonary,Pulmonary Exam,Posterior thorax,Inspect posterior thorax,Cardiopulmonary 4,Allow back exposure with gown opened,Inspect posterior thorax,"Deformity, asymmetry, respiratory effort",Screens posterior chest appearance,Posterior thorax inspection,Normal / Increased work / Asymmetric / Deformity,Dyspnea; pulmonary exam,cardiopulmonary_pulmonary_exam_posterior_thorax_inspect_posterior_thorax
Cardiopulmonary,Pulmonary Exam,Posterior thorax,Tactile fremitus,Cardiopulmonary 5,Say toy boat or 99 at each level,Use ulnar hands or MCP palmar surface at least 3 levels bilaterally; avoid scapulae,"Increased, decreased, asymmetric fremitus",Screens consolidation or effusion patterns,Tactile fremitus,Symmetric / Increased / Decreased / Asymmetric,Pneumonia; effusion; pulmonary exam,cardiopulmonary_pulmonary_exam_posterior_thorax_tactile_fremitus
Cardiopulmonary,Pulmonary Exam,Posterior thorax,Percuss posterior lung fields,Cardiopulmonary 6,Sit still,Percuss posterior lung fields at least 3 levels bilaterally; avoid scapulae,Dullness or hyperresonance,"Screens consolidation, effusion, hyperinflation",Posterior lung percussion,Resonant / Dull / Hyperresonant / Asymmetric,Pneumonia; effusion; COPD/asthma,cardiopulmonary_pulmonary_exam_posterior_thorax_percuss_posterior_lung_fields
Cardiopulmonary,Pulmonary Exam,Posterior thorax,Auscultate posterior lung fields,Cardiopulmonary 7,Take deep breaths through mouth if able,Auscultate posterior lung fields at least 3 levels bilaterally with diaphragm; avoid scapulae,"Crackles, wheezes, rhonchi, diminished sounds",Screens breath sounds,Posterior lung sounds,Clear / Crackles / Wheezes / Rhonchi / Diminished,Dyspnea; pulmonary disease; infection,cardiopulmonary_pulmonary_exam_posterior_thorax_auscultate_posterior_lung_fields
Cardiopulmonary,Pulmonary Exam,Lateral thorax,Auscultate lateral lung fields,Cardiopulmonary 8,Take deep breaths through mouth if able,Auscultate lateral lung fields at least 1 level bilaterally with diaphragm,"Crackles, wheezes, rhonchi, diminished sounds",Screens lateral breath sounds,Lateral lung sounds,Clear / Crackles / Wheezes / Rhonchi / Diminished,Dyspnea; pulmonary exam,cardiopulmonary_pulmonary_exam_lateral_thorax_auscultate_lateral_lung_fields
Cardiopulmonary,Pulmonary Exam,Anterior thorax,Inspect anterior thorax,Cardiopulmonary 9,Lower gown to expose upper chest as appropriate,Inspect anterior thorax,"Retractions, deformity, effort",Screens anterior chest appearance,Anterior thorax inspection,Normal / Increased work / Asymmetric / Deformity,Dyspnea; pulmonary exam,cardiopulmonary_pulmonary_exam_anterior_thorax_inspect_anterior_thorax
Cardiopulmonary,Pulmonary Exam,Anterior thorax,Percuss anterior lung fields,Cardiopulmonary 10,Sit still,Percuss anterior lung fields at least 1 level bilaterally below clavicle,Dullness or hyperresonance,Screens anterior lung percussion,Anterior lung percussion,Resonant / Dull / Hyperresonant / Asymmetric,Pulmonary exam,cardiopulmonary_pulmonary_exam_anterior_thorax_percuss_anterior_lung_fields
Cardiopulmonary,Pulmonary Exam,Anterior thorax,Auscultate anterior lung fields,Cardiopulmonary 11,Take deep breaths through mouth if able,Auscultate anterior lung fields at least 1 level bilaterally below clavicle with diaphragm,"Crackles, wheezes, rhonchi, diminished sounds",Screens anterior breath sounds,Anterior lung sounds,Clear / Crackles / Wheezes / Rhonchi / Diminished,Dyspnea; pulmonary exam,cardiopulmonary_pulmonary_exam_anterior_thorax_auscultate_anterior_lung_fields
Cardiopulmonary,Vascular Exam,Setup,Vascular positioning,Cardiopulmonary 12,Lie back at 30 degrees,Adjust table to 30 degrees; lift foot extension; drape,Appropriate position for JVP and vascular exam,Vascular exam setup,Vascular exam setup,Completed / Limited / Deferred,Volume status; heart failure; vascular exam,cardiopulmonary_vascular_exam_setup_vascular_positioning
Cardiopulmonary,Vascular Exam,Neck,JVP,Cardiopulmonary 13,Turn head slightly left while lying at 30 degrees,Stand on patient's right; observe jugular venous pulsations,Elevated JVP or not visible,Screens volume status/right-sided pressure,JVP,Not elevated / Elevated / Unable to assess,Heart failure; volume overload; shock,cardiopulmonary_vascular_exam_neck_jvp
Cardiopulmonary,Vascular Exam,Neck,Carotid auscultation and palpation,Cardiopulmonary 14,Hold breath during auscultation,Auscultate carotids bilaterally with diaphragm or bell; palpate one at a time,"Bruit, diminished pulse, asymmetry",Screens carotid bruits and pulse,Carotids,No bruit / Bruit right / Bruit left / Diminished pulse,Vascular disease; stroke risk; syncope,cardiopulmonary_vascular_exam_neck_carotid_auscultation_and_palpation
Cardiopulmonary,Vascular Exam,Upper extremity,Radial pulses,Cardiopulmonary 15,Relax arms,Palpate radial pulses bilaterally and symmetrically,Diminished or asymmetric pulses,Screens peripheral perfusion,Radial pulses,Equal / Diminished right / Diminished left / Absent,Vascular exam; shock; limb symptoms,cardiopulmonary_vascular_exam_upper_extremity_radial_pulses
Cardiopulmonary,Vascular Exam,Lower extremity,Femoral pulses,Cardiopulmonary 16,Relax legs with drape/underwear maintained as appropriate,Palpate femoral pulses bilaterally one at a time,Diminished or asymmetric pulses,Screens proximal lower extremity perfusion,Femoral pulses,Equal / Diminished right / Diminished left / Absent,Vascular disease; limb ischemia,cardiopulmonary_vascular_exam_lower_extremity_femoral_pulses
Cardiopulmonary,Vascular Exam,Lower extremity,Posterior tibial pulses,Cardiopulmonary 17,Relax feet,Palpate posterior tibial pulses on skin bilaterally on medial side going lateral,Diminished or absent pulses,Screens distal perfusion,Posterior tibial pulses,Equal / Diminished right / Diminished left / Absent,Diabetes foot exam; vascular disease; edema,cardiopulmonary_vascular_exam_lower_extremity_posterior_tibial_pulses
Cardiopulmonary,Vascular Exam,Lower extremity,Dorsalis pedis pulses,Cardiopulmonary 18,Relax feet,Palpate dorsalis pedis pulses bilaterally on skin,Diminished or absent pulses,Screens distal perfusion,Dorsalis pedis pulses,Equal / Diminished right / Diminished left / Absent,Diabetes foot exam; vascular disease; edema,cardiopulmonary_vascular_exam_lower_extremity_dorsalis_pedis_pulses
Cardiopulmonary,Vascular Exam,Lower extremity,Edema,Cardiopulmonary 19,Relax legs,Apply firm pressure on lower tibia bony surface for at least 5 seconds bilaterally,Pitting edema,Screens volume overload or venous disease,Lower extremity edema,None / Trace / 1+ / 2+ / 3+,Heart failure; renal disease; liver disease; edema,cardiopulmonary_vascular_exam_lower_extremity_edema
Cardiopulmonary,Cardiac Exam,Setup,Cardiac draping,Cardiopulmonary 20,Allow exposure of left precordium with permission,Uncover left side of gown to expose precordium,Appropriate exposure,"Allows cardiac inspection, palpation, auscultation",Cardiac exam setup,Completed / Limited / Deferred,Cardiac exam,cardiopulmonary_cardiac_exam_setup_cardiac_draping
Cardiopulmonary,Cardiac Exam,Precordium,Inspect apical impulse,Cardiopulmonary 21,Lie comfortably,Inspect apical impulse,Visible apical impulse or heave,Screens precordial activity,Apical impulse inspection,Not visible / Visible / Heave,Cardiac disease; heart failure,cardiopulmonary_cardiac_exam_precordium_inspect_apical_impulse
Cardiopulmonary,Cardiac Exam,Precordium,Palpate PMI,Cardiopulmonary 22,Lift left breast if needed and comfortable,Palpate point of maximal impulse at 5th ICS left MCL,Displaced or diffuse PMI,Screens cardiac size/activity,PMI,Normal / Displaced / Diffuse / Unable,Heart failure; cardiomyopathy,cardiopulmonary_cardiac_exam_precordium_palpate_pmi
Cardiopulmonary,Cardiac Exam,Auscultation,Auscultate heart with diaphragm and bell,Cardiopulmonary 23,Breathe normally,"Use diaphragm and bell over aortic, pulmonic, tricuspid, and mitral areas","Murmur, rub, gallop, abnormal heart sound",Screens cardiac auscultation across valve areas,Heart sounds,Normal / Murmur / Rub / Gallop / Other ___,Cardiac exam; chest pain; dyspnea; murmur,cardiopulmonary_cardiac_exam_auscultation_auscultate_heart_with_diaphragm_and_bell
Cardiopulmonary,Cardiac Exam,Auscultation,Aortic area,Cardiopulmonary 23,Breathe normally,Auscultate 2nd intercostal space right sternal border with diaphragm and bell,"Murmur, abnormal heart sound",Aortic valve listening area,Aortic area,Normal / Murmur / Abnormal sound,Cardiac exam; chest pain; murmur,cardiopulmonary_cardiac_exam_auscultation_aortic_area
Cardiopulmonary,Cardiac Exam,Auscultation,Pulmonic area,Cardiopulmonary 23,Breathe normally,Auscultate 2nd intercostal space left sternal border with diaphragm and bell,"Murmur, abnormal heart sound",Pulmonic valve listening area,Pulmonic area,Normal / Murmur / Abnormal sound,Cardiac exam; chest pain; murmur,cardiopulmonary_cardiac_exam_auscultation_pulmonic_area
Cardiopulmonary,Cardiac Exam,Auscultation,Tricuspid area,Cardiopulmonary 23,Breathe normally,Auscultate 4th-5th intercostal space left sternal border with diaphragm and bell,"Murmur, abnormal heart sound",Tricuspid valve listening area,Tricuspid area,Normal / Murmur / Abnormal sound,Cardiac exam; chest pain; murmur,cardiopulmonary_cardiac_exam_auscultation_tricuspid_area
Cardiopulmonary,Cardiac Exam,Auscultation,Mitral area,Cardiopulmonary 23,Breathe normally,Auscultate 5th intercostal space left midclavicular line with diaphragm and bell,"Murmur, abnormal heart sound",Mitral valve listening area,Mitral area,Normal / Murmur / Abnormal sound,Cardiac exam; chest pain; murmur,cardiopulmonary_cardiac_exam_auscultation_mitral_area
MSK,Shoulder,Inspection,Inspect shoulders,MSK Shoulder,Sit or stand with shoulders exposed as appropriate,Inspect shoulders,"Asymmetry, deformity, swelling, erythema",Screens shoulder appearance,Shoulder inspection,Normal / Swelling / Deformity / Erythema / Asymmetric,Shoulder pain; MSK exam,msk_shoulder_inspection_inspect_shoulders
MSK,Shoulder,Palpation,Palpate shoulders,MSK Shoulder,Relax shoulders,Palpate shoulders on skin one at a time,"Tenderness, warmth, swelling",Screens focal shoulder tenderness,Shoulder palpation,Nontender / Tender / Warm / Swollen,Shoulder pain; trauma,msk_shoulder_palpation_palpate_shoulders
MSK,Shoulder,Range of Motion,Flexion,MSK Shoulder ROM,Raise arms forward overhead,Observe active shoulder flexion,Limited motion or pain,Screens shoulder flexion ROM,Shoulder flexion,Full / Limited by pain / Limited / Unable,Shoulder pain; MSK exam,msk_shoulder_range_of_motion_flexion
MSK,Shoulder,Range of Motion,Extension,MSK Shoulder ROM,"Lower arms, then raise straight behind back",Observe active shoulder extension,Limited motion or pain,Screens shoulder extension ROM,Shoulder extension,Full / Limited by pain / Limited / Unable,Shoulder pain; MSK exam,msk_shoulder_range_of_motion_extension
MSK,Shoulder,Range of Motion,Abduction,MSK Shoulder ROM,Start palms open at side; raise arms laterally overhead and cross arms,Observe active shoulder abduction,Limited motion or pain,Screens shoulder abduction ROM,Shoulder abduction,Full / Limited by pain / Limited / Unable,Shoulder pain; rotator cuff concern,msk_shoulder_range_of_motion_abduction
MSK,Shoulder,Range of Motion,Adduction,MSK Shoulder ROM,Lower arms and cross in front of body,Observe shoulder adduction,Limited motion or pain,Screens shoulder adduction ROM,Shoulder adduction,Full / Limited by pain / Limited / Unable,Shoulder pain; MSK exam,msk_shoulder_range_of_motion_adduction
MSK,Shoulder,Range of Motion,External rotation,MSK Shoulder ROM,Put hands behind neck with elbows out,Observe external rotation,Limited motion or pain,Screens shoulder external rotation,Shoulder external rotation,Full / Limited by pain / Limited / Unable,Shoulder pain; rotator cuff concern,msk_shoulder_range_of_motion_external_rotation
MSK,Shoulder,Range of Motion,Internal rotation,MSK Shoulder ROM,"Put hands behind back and raise as high as possible, crossing hands",Observe from behind,Limited motion or pain,Screens shoulder internal rotation,Shoulder internal rotation,Full / Limited by pain / Limited / Unable,Shoulder pain; rotator cuff concern,msk_shoulder_range_of_motion_internal_rotation
MSK,Elbow,Inspection,Inspect elbows,MSK Elbow,Expose elbows,Inspect elbows,"Swelling, deformity, erythema",Screens elbow appearance,Elbow inspection,Normal / Swelling / Deformity / Erythema,Elbow pain; trauma,msk_elbow_inspection_inspect_elbows
MSK,Elbow,Palpation,Palpate elbows,MSK Elbow,Relax arms,Palpate elbows on skin,"Tenderness, warmth, swelling",Screens focal elbow tenderness,Elbow palpation,Nontender / Tender / Warm / Swollen,Elbow pain; MSK exam,msk_elbow_palpation_palpate_elbows
MSK,Elbow,Range of Motion,Flexion,MSK Elbow ROM,Bend elbows,Observe flexion,Limited motion or pain,Screens elbow flexion,Elbow flexion,Full / Limited by pain / Limited / Unable,Elbow pain; MSK exam,msk_elbow_range_of_motion_flexion
MSK,Elbow,Range of Motion,Extension,MSK Elbow ROM,Straighten elbows,Observe extension,Limited motion or pain,Screens elbow extension,Elbow extension,Full / Limited by pain / Limited / Unable,Elbow pain; MSK exam,msk_elbow_range_of_motion_extension
MSK,Elbow,Range of Motion,Pronation,MSK Elbow ROM,Elbows at sides flexed 90 degrees; turn palms down,Observe pronation,Limited motion or pain,Screens forearm pronation,Forearm pronation,Full / Limited by pain / Limited / Unable,Elbow/wrist pain; MSK exam,msk_elbow_range_of_motion_pronation
MSK,Elbow,Range of Motion,Supination,MSK Elbow ROM,Elbows at sides flexed 90 degrees; turn palms up,Observe supination,Limited motion or pain,Screens forearm supination,Forearm supination,Full / Limited by pain / Limited / Unable,Elbow/wrist pain; MSK exam,msk_elbow_range_of_motion_supination
MSK,Wrist,Inspection,Inspect wrists,MSK Wrist,Expose wrists,Inspect wrists,"Swelling, deformity, erythema",Screens wrist appearance,Wrist inspection,Normal / Swelling / Deformity / Erythema,Wrist pain; trauma,msk_wrist_inspection_inspect_wrists
MSK,Wrist,Palpation,Palpate wrists,MSK Wrist,Relax wrists,Palpate all around wrist on skin,"Tenderness, warmth, swelling",Screens focal wrist tenderness,Wrist palpation,Nontender / Tender / Warm / Swollen,Wrist pain; MSK exam,msk_wrist_palpation_palpate_wrists
MSK,Wrist,Range of Motion,Extension,MSK Wrist ROM,Make fists with dorsum facing upward; move fists toward ceiling,Observe wrist extension,Limited motion or pain,Screens wrist extension ROM,Wrist extension ROM,Full / Limited by pain / Limited / Unable,Wrist pain; MSK exam,msk_wrist_range_of_motion_extension
MSK,Wrist,Range of Motion,Flexion,MSK Wrist ROM,Make fists with dorsum facing upward; move fists toward floor,Observe wrist flexion,Limited motion or pain,Screens wrist flexion ROM,Wrist flexion ROM,Full / Limited by pain / Limited / Unable,Wrist pain; MSK exam,msk_wrist_range_of_motion_flexion
MSK,Wrist,Range of Motion,Radial deviation,MSK Wrist ROM,Move fists inward,Observe radial deviation,Limited motion or pain,Screens wrist radial deviation,Wrist radial deviation,Full / Limited by pain / Limited / Unable,Wrist pain; MSK exam,msk_wrist_range_of_motion_radial_deviation
MSK,Wrist,Range of Motion,Ulnar deviation,MSK Wrist ROM,Move fists outward,Observe ulnar deviation,Limited motion or pain,Screens wrist ulnar deviation,Wrist ulnar deviation,Full / Limited by pain / Limited / Unable,Wrist pain; MSK exam,msk_wrist_range_of_motion_ulnar_deviation
MSK,Hand,Inspection,Inspect hands,MSK Hand,Show dorsal and palmar hand surfaces,Inspect hands,"Swelling, deformity, erythema, nodules",Screens hand appearance,Hand inspection,Normal / Swelling / Deformity / Erythema / Nodules,Hand pain; arthritis; MSK exam,msk_hand_inspection_inspect_hands
MSK,Hand,Palpation,Palpate MCP PIP DIP joints,MSK Hand,Relax hands,"Palpate MCPs, PIPs, and DIPs on skin; do both sides on each finger at a time","Tenderness, swelling, warmth",Screens inflammatory or traumatic hand disease,Hand joint palpation,Nontender / Tender / Swollen / Warm,Hand pain; arthritis,msk_hand_palpation_palpate_mcp_pip_dip_joints
MSK,Hand,Range of Motion,Finger flexion,MSK Hand ROM,Make fists,Observe finger flexion,Limited motion or pain,Screens finger flexion,Finger flexion,Full / Limited / Unable,Hand pain; arthritis; tendon concern,msk_hand_range_of_motion_finger_flexion
MSK,Hand,Range of Motion,Finger extension,MSK Hand ROM,Straighten fingers,Observe finger extension,Limited motion or pain,Screens finger extension,Finger extension,Full / Limited / Unable,Hand pain; tendon concern,msk_hand_range_of_motion_finger_extension
MSK,Hand,Range of Motion,Finger abduction,MSK Hand ROM,Spread fingers apart,Observe abduction,Limited motion or weakness,Screens intrinsic hand function,Finger abduction,Full / Limited / Weak / Unable,Ulnar nerve; hand weakness,msk_hand_range_of_motion_finger_abduction
MSK,Hand,Range of Motion,Finger adduction,MSK Hand ROM,Bring fingers together,Observe adduction,Limited motion or weakness,Screens intrinsic hand function,Finger adduction,Full / Limited / Weak / Unable,Ulnar nerve; hand weakness,msk_hand_range_of_motion_finger_adduction
MSK,Hand,Range of Motion,Thumb opposition,MSK Hand ROM,Touch thumb to pinky bilaterally,Observe thumb opposition,Limited motion or weakness,Screens median nerve/thumb opposition,Thumb opposition,Intact / Limited right / Limited left / Unable,Carpal tunnel; hand weakness,msk_hand_range_of_motion_thumb_opposition
MSK,Hip,Inspection,Inspect hips,MSK Hip,Lie back and lower gown to inside of waistband as appropriate,Inspect hips,"Asymmetry, deformity, swelling",Screens hip appearance,Hip inspection,Normal / Asymmetric / Deformity / Swelling,Hip pain; trauma,msk_hip_inspection_inspect_hips
MSK,Hip,Palpation,Palpate hips and greater trochanter,MSK Hip,Lie supine and then side-lying for greater trochanter palpation,Palpate hips on skin; palpate greater trochanter over clothing or skin; do both sides before ROM,"Tenderness, warmth, swelling",Screens hip/trochanter tenderness,Hip palpation,Nontender / Tender / Warm / Swollen,Hip pain; bursitis; trauma,msk_hip_palpation_palpate_hips_and_greater_trochanter
MSK,Hip,Range of Motion,Flexion,MSK Hip ROM,Bring knee toward chest bilaterally,Observe hip flexion supine,Limited motion or pain,Screens hip flexion ROM,Hip flexion ROM,Full / Limited by pain / Limited / Unable,Hip pain; MSK exam,msk_hip_range_of_motion_flexion
MSK,Hip,Range of Motion,Extension,MSK Hip ROM,Lie on side; allow leg to be pulled backward,Move leg backward in side position,Limited motion or pain,Screens hip extension ROM,Hip extension ROM,Full / Limited by pain / Limited / Unable,Hip pain; MSK exam,msk_hip_range_of_motion_extension
MSK,Hip,Range of Motion,Abduction,MSK Hip ROM,Allow leg to move laterally,Hand on opposite ASIS; abduct leg laterally,Limited motion or pain,Screens hip abduction ROM,Hip abduction ROM,Full / Limited by pain / Limited / Unable,Hip pain; MSK exam,msk_hip_range_of_motion_abduction
MSK,Hip,Range of Motion,Adduction,MSK Hip ROM,Allow leg to move medially,Hand on opposite ASIS; adduct leg medially,Limited motion or pain,Screens hip adduction ROM,Hip adduction ROM,Full / Limited by pain / Limited / Unable,Hip pain; MSK exam,msk_hip_range_of_motion_adduction
MSK,Hip,Range of Motion,Internal rotation,MSK Hip ROM,Relax hip and knee flexed to 90 degrees,"With hip and knee flexed 90 degrees, move ankle laterally",Limited motion or pain,Screens hip internal rotation,Hip internal rotation,Full / Limited by pain / Limited / Unable,Hip pain; MSK exam,msk_hip_range_of_motion_internal_rotation
MSK,Hip,Range of Motion,External rotation,MSK Hip ROM,Relax hip and knee flexed to 90 degrees,"With hip and knee flexed 90 degrees, move ankle medially",Limited motion or pain,Screens hip external rotation,Hip external rotation,Full / Limited by pain / Limited / Unable,Hip pain; MSK exam,msk_hip_range_of_motion_external_rotation
MSK,Knee,Inspection,Inspect knees,MSK Knee,Expose knees,Inspect knees,"Swelling, deformity, erythema",Screens knee appearance,Knee inspection,Normal / Swelling / Deformity / Erythema,Knee pain; trauma,msk_knee_inspection_inspect_knees
MSK,Knee,Palpation,Palpate knees,MSK Knee,Relax knees,"Palpate top, bottom, sides, and behind knees on skin","Tenderness, warmth, effusion",Screens focal knee tenderness/effusion,Knee palpation,Nontender / Tender / Warm / Effusion,Knee pain; trauma; arthritis,msk_knee_palpation_palpate_knees
MSK,Knee,Range of Motion,Flexion,MSK Knee ROM,Flex knees,Observe knee flexion,Limited motion or pain,Screens knee flexion ROM,Knee flexion ROM,Full / Limited by pain / Limited / Unable,Knee pain; MSK exam,msk_knee_range_of_motion_flexion
MSK,Knee,Range of Motion,Extension,MSK Knee ROM,Extend knees,Observe knee extension,Limited motion or pain,Screens knee extension ROM,Knee extension ROM,Full / Limited by pain / Limited / Unable,Knee pain; MSK exam,msk_knee_range_of_motion_extension
MSK,Ankle,Inspection,Inspect ankles,MSK Ankle,Expose ankles,Inspect ankles,"Swelling, deformity, erythema",Screens ankle appearance,Ankle inspection,Normal / Swelling / Deformity / Erythema,Ankle pain; trauma,msk_ankle_inspection_inspect_ankles
MSK,Ankle,Palpation,Palpate ankles,MSK Ankle,Relax ankles,Palpate fully around ankle on skin,"Tenderness, warmth, swelling",Screens ankle tenderness,Ankle palpation,Nontender / Tender / Warm / Swollen,Ankle pain; trauma,msk_ankle_palpation_palpate_ankles
MSK,Ankle,Range of Motion,Dorsiflexion,MSK Ankle ROM,Move foot toward ceiling,Move foot manually if needed,Limited motion or pain,Screens ankle dorsiflexion ROM,Ankle dorsiflexion ROM,Full / Limited by pain / Limited / Unable,Ankle pain; MSK exam,msk_ankle_range_of_motion_dorsiflexion
MSK,Ankle,Range of Motion,Plantarflexion,MSK Ankle ROM,Move foot toward floor,Move foot manually if needed,Limited motion or pain,Screens ankle plantarflexion ROM,Ankle plantarflexion ROM,Full / Limited by pain / Limited / Unable,Ankle pain; MSK exam,msk_ankle_range_of_motion_plantarflexion
MSK,Ankle,Range of Motion,Inversion,MSK Ankle ROM,Relax foot,"Stabilize above ankle, grasp heel, invert medially bilaterally",Limited motion or pain,Screens ankle inversion ROM,Ankle inversion,Full / Limited by pain / Limited / Unable,Ankle pain; sprain,msk_ankle_range_of_motion_inversion
MSK,Ankle,Range of Motion,Eversion,MSK Ankle ROM,Relax foot,"Stabilize above ankle, grasp heel, evert laterally bilaterally",Limited motion or pain,Screens ankle eversion ROM,Ankle eversion,Full / Limited by pain / Limited / Unable,Ankle pain; sprain,msk_ankle_range_of_motion_eversion
MSK,Foot,Inspection,Inspect feet,MSK Foot,Expose dorsal and plantar surfaces,Inspect feet,"Ulcer, deformity, swelling, erythema",Screens foot appearance,Foot inspection,Normal / Ulcer / Deformity / Swelling / Erythema,Diabetes; foot pain; vascular disease,msk_foot_inspection_inspect_feet
MSK,Foot,Palpation,MTP squeeze test,MSK Foot,Relax foot,Compress medial and lateral forefoot at MTPs,Forefoot/MTP pain,Screens MTP tenderness/inflammation,MTP squeeze,Negative / Positive right / Positive left / Bilateral,Forefoot pain; inflammatory arthritis,msk_foot_palpation_mtp_squeeze_test
MSK,Foot,Range of Motion,Toe motion,MSK Foot ROM,Move toes up and down,Observe toe flexion/extension,Limited motion or pain,Screens toe ROM,Toe range of motion,Full / Limited / Unable,Foot pain; neuro/MSK exam,msk_foot_range_of_motion_toe_motion
MSK,Foot,Range of Motion,Forefoot inversion,MSK Foot ROM,Relax foot,Stabilize heel; invert forefoot medially,Limited motion or pain,Screens forefoot inversion,Forefoot inversion,Full / Limited by pain / Limited / Unable,Foot pain; MSK exam,msk_foot_range_of_motion_forefoot_inversion
MSK,Foot,Range of Motion,Forefoot eversion,MSK Foot ROM,Relax foot,Stabilize heel; evert forefoot laterally,Limited motion or pain,Screens forefoot eversion,Forefoot eversion,Full / Limited by pain / Limited / Unable,Foot pain; MSK exam,msk_foot_range_of_motion_forefoot_eversion
MSK,Foot,Range of Motion,Toe flexion,MSK Foot ROM,Flex toes toward floor,Observe toe flexion,Limited motion or pain,Screens toe flexion,Toe flexion,Full / Limited / Unable,Foot pain; neuro/MSK exam,msk_foot_range_of_motion_toe_flexion
MSK,Foot,Range of Motion,Toe extension,MSK Foot ROM,Extend toes toward ceiling,Observe toe extension,Limited motion or pain,Screens toe extension,Toe extension,Full / Limited / Unable,Foot pain; neuro/MSK exam,msk_foot_range_of_motion_toe_extension
