exam_id,base_row_number,base_row_fingerprint,source_item,condition_or_syndrome,diagnostic_target,bedside_question_label,bedside_question_options,when_to_use_structured,result_changes_management,management_link,evidence_source_primary,source_citation,LR_plus,LR_minus,evidence_tier,difficulty,time_burden_minutes,equipment_needed,patient_cooperation_required,care_setting,limitations,retrieval_tags
EXAM-039-babinski-sign,39,8b733554,Neuro 38,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,reflex hammer,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-040-finger-to-nose,40,8af9deee,Neuro 39,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,none,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-041-rapid-alternating-movements,41,a9969a74,Neuro 40,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A management-relevant Rapid alternating movements finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Rapid alternating movements finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,easy,1.5,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-042-heel-to-shin,42,1b45a039,Neuro 41,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,none,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-043-gait,43,d67c8258,Neuro 42,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,none,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-044-toe-walking,44,a4838d11,Neuro 43,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A management-relevant Toe walking finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Toe walking finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,easy,1.5,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-045-heel-walking,45,6cd6d0de,Neuro 44,DKA_HHS; hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; inpatient_diabetes; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,DKA_HHS; diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; inpatient_diabetes; neuro; pituitary_sellar; stroke,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,easy,1.5,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",DKA_HHS; diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; inpatient_diabetes; neuro; pituitary_sellar; stroke; weakness
EXAM-046-tandem-gait,46,18fd1c06,Neuro 45,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,none,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-047-romberg,47,b0bfdcf2,Neuro 46,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,none,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-053-scalp-exam,53,cafd7fcc,HEENT 1,diagnostic_safety; heent; inpatient_bedside,"Screens scalp trauma, lesions, tenderness","Has this problem changed since yesterday, and is there any new symptom you want the team to know?",Better / Same / Worse / New symptom ___ / Other ___,diagnostic_safety; heent; inpatient_bedside,"A management-relevant Scalp exam finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Scalp exam finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",AHRQ_CALIBRATE_DX,AHRQ_CALIBRATE_DX; SM25,,,C,easy,1,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; heent; inpatient_bedside
EXAM-054-sclerae-and-conjunctivae,54,4e24592f,HEENT 2,diagnostic_safety; heent; hypovolemia,"Thyroid enlargement, thyroid emergency severity, or compressive neck findings","Have you felt thirsty, lightheaded when standing, or had less urine than usual?",No / Thirsty / Lightheaded / Less urine / Multiple / Other ___,diagnostic_safety; heent; hypovolemia; infection; inpatient_bedside; thyroid_disease,"Mucosal, eye, or oropharyngeal findings can support dehydration, infection, jaundice, or medication toxicity and affect fluids or workup.","Mucosal, eye, or oropharyngeal findings can support dehydration, infection, jaundice, or medication toxicity and affect fluids or workup.",SM25,SM25; AHRQ_CALIBRATE_DX,,,C,easy,1,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; heent; hypovolemia; infection; inpatient_bedside; thyroid_disease
EXAM-055-ophthalmoscopic-exam,55,df883f4f,HEENT 3,DKA_HHS; hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; inpatient_diabetes; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,DKA_HHS; diagnostic_safety; heent; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; inpatient_diabetes; pituitary_sellar; stroke,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,reflex hammer; ophthalmoscope,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",DKA_HHS; diagnostic_safety; heent; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; inpatient_diabetes; pituitary_sellar; stroke; weakness
EXAM-056-external-ears,56,202b2ab0,HEENT 4,diagnostic_safety; heent; inpatient_bedside,Screens external ear pathology,"Has this problem changed since yesterday, and is there any new symptom you want the team to know?",Better / Same / Worse / New symptom ___ / Other ___,diagnostic_safety; heent; inpatient_bedside,"A management-relevant External ears finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant External ears finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",AHRQ_CALIBRATE_DX,AHRQ_CALIBRATE_DX; SM25,,,C,easy,1,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; heent; inpatient_bedside
EXAM-057-otoscope-exam,57,3736124a,HEENT 5,diagnostic_safety; heent; inpatient_bedside,Screens ear canal and tympanic membrane,"Has this problem changed since yesterday, and is there any new symptom you want the team to know?",Better / Same / Worse / New symptom ___ / Other ___,diagnostic_safety; heent; inpatient_bedside,"A management-relevant Otoscope exam finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Otoscope exam finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",AHRQ_CALIBRATE_DX,AHRQ_CALIBRATE_DX; SM25,,,C,easy,1,otoscope,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; heent; inpatient_bedside
EXAM-058-nasal-exam,58,b8b3a0d5,HEENT 6,diagnostic_safety; heent; inpatient_bedside,Screens nasal mucosa and obstruction,"Has this problem changed since yesterday, and is there any new symptom you want the team to know?",Better / Same / Worse / New symptom ___ / Other ___,diagnostic_safety; heent; inpatient_bedside,"A management-relevant Nasal exam finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Nasal exam finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",AHRQ_CALIBRATE_DX,AHRQ_CALIBRATE_DX; SM25,,,C,easy,1,otoscope,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; heent; inpatient_bedside
EXAM-059-sinus-tenderness,59,6dbe4f12,HEENT 7,diagnostic_safety; heent; inpatient_bedside,Screens sinus tenderness,"Has this problem changed since yesterday, and is there any new symptom you want the team to know?",Better / Same / Worse / New symptom ___ / Other ___,diagnostic_safety; heent; inpatient_bedside,"A management-relevant Sinus tenderness finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Sinus tenderness finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",AHRQ_CALIBRATE_DX,AHRQ_CALIBRATE_DX; SM25,,,C,easy,1,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; heent; inpatient_bedside
EXAM-060-mouth-exam,60,8a8561eb,HEENT 8,DKA_HHS; adrenal_insufficiency; AKI,"Thyroid enlargement, thyroid emergency severity, or compressive neck findings","Have you felt thirsty, lightheaded when standing, or had less urine than usual?",No / Thirsty / Lightheaded / Less urine / Multiple / Other ___,AKI; DKA_HHS; adrenal_insufficiency; diagnostic_safety; heent; hypovolemia; infection; inpatient_bedside; thyroid_disease,"Mucosal, eye, or oropharyngeal findings can support dehydration, infection, jaundice, or medication toxicity and affect fluids or workup.","Mucosal, eye, or oropharyngeal findings can support dehydration, infection, jaundice, or medication toxicity and affect fluids or workup.",SM25,SM25; AHRQ_CALIBRATE_DX,,,C,easy,1,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",AKI; DKA_HHS; adrenal_insufficiency; diagnostic_safety; heent; hypovolemia; infection; inpatient_bedside; thyroid_disease
EXAM-061-oropharynx,61,43f76e0f,HEENT 9,DKA_HHS; adrenal_insufficiency; AKI,"Thyroid enlargement, thyroid emergency severity, or compressive neck findings","Have you felt thirsty, lightheaded when standing, or had less urine than usual?",No / Thirsty / Lightheaded / Less urine / Multiple / Other ___,AKI; DKA_HHS; adrenal_insufficiency; diagnostic_safety; heent; hypovolemia; infection; inpatient_bedside; thyroid_disease,"Mucosal, eye, or oropharyngeal findings can support dehydration, infection, jaundice, or medication toxicity and affect fluids or workup.","Mucosal, eye, or oropharyngeal findings can support dehydration, infection, jaundice, or medication toxicity and affect fluids or workup.",SM25,SM25; AHRQ_CALIBRATE_DX,,,C,easy,1,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",AKI; DKA_HHS; adrenal_insufficiency; diagnostic_safety; heent; hypovolemia; infection; inpatient_bedside; thyroid_disease
EXAM-062-preauricular-nodes,62,4bc1ea2f,HEENT 10,thyroid_storm; myxedema,"Thyroid enlargement, thyroid emergency severity, or compressive neck findings","Have you had palpitations, heat or cold intolerance, neck discomfort, or new confusion?",No / Palpitations / Heat intolerance / Cold intolerance / Neck discomfort / Confusion / Other ___,diagnostic_safety; heent; infection; inpatient_bedside; malignancy; myxedema; thyroid_disease; thyroid_storm,"A management-relevant Preauricular nodes finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Preauricular nodes finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",JTA_JES_THYROID_STORM_2016,JTA_JES_THYROID_STORM_2016; SM25; AHRQ_CALIBRATE_DX,,,A,easy,1.5,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; heent; infection; inpatient_bedside; malignancy; myxedema; thyroid_disease; thyroid_storm
EXAM-063-posterior-auricular-nodes,63,efe4bc9f,HEENT 10,thyroid_storm; myxedema,"Thyroid enlargement, thyroid emergency severity, or compressive neck findings","Have you had palpitations, heat or cold intolerance, neck discomfort, or new confusion?",No / Palpitations / Heat intolerance / Cold intolerance / Neck discomfort / Confusion / Other ___,diagnostic_safety; heent; infection; inpatient_bedside; malignancy; myxedema; thyroid_disease; thyroid_storm,"A management-relevant Posterior auricular nodes finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Posterior auricular nodes finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",JTA_JES_THYROID_STORM_2016,JTA_JES_THYROID_STORM_2016; SM25; AHRQ_CALIBRATE_DX,,,A,easy,1.5,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; heent; infection; inpatient_bedside; malignancy; myxedema; thyroid_disease; thyroid_storm
EXAM-064-occipital-nodes,64,0ed4e12f,HEENT 10,thyroid_storm; myxedema,"Thyroid enlargement, thyroid emergency severity, or compressive neck findings","Have you had palpitations, heat or cold intolerance, neck discomfort, or new confusion?",No / Palpitations / Heat intolerance / Cold intolerance / Neck discomfort / Confusion / Other ___,diagnostic_safety; heent; infection; inpatient_bedside; malignancy; myxedema; thyroid_disease; thyroid_storm,"A management-relevant Occipital nodes finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Occipital nodes finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",JTA_JES_THYROID_STORM_2016,JTA_JES_THYROID_STORM_2016; SM25; AHRQ_CALIBRATE_DX,,,A,easy,1.5,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; heent; infection; inpatient_bedside; malignancy; myxedema; thyroid_disease; thyroid_storm
EXAM-065-tonsillar-nodes,65,87c613db,HEENT 10,thyroid_storm; myxedema,"Thyroid enlargement, thyroid emergency severity, or compressive neck findings","Have you had palpitations, heat or cold intolerance, neck discomfort, or new confusion?",No / Palpitations / Heat intolerance / Cold intolerance / Neck discomfort / Confusion / Other ___,diagnostic_safety; heent; infection; inpatient_bedside; malignancy; myxedema; thyroid_disease; thyroid_storm,"A management-relevant Tonsillar nodes finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Tonsillar nodes finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",JTA_JES_THYROID_STORM_2016,JTA_JES_THYROID_STORM_2016; SM25; AHRQ_CALIBRATE_DX,,,A,easy,1.5,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; heent; infection; inpatient_bedside; malignancy; myxedema; thyroid_disease; thyroid_storm
EXAM-066-submandibular-nodes,66,46dd01ff,HEENT 10,thyroid_storm; myxedema,"Thyroid enlargement, thyroid emergency severity, or compressive neck findings","Have you had palpitations, heat or cold intolerance, neck discomfort, or new confusion?",No / Palpitations / Heat intolerance / Cold intolerance / Neck discomfort / Confusion / Other ___,diagnostic_safety; heent; infection; inpatient_bedside; malignancy; myxedema; thyroid_disease; thyroid_storm,"A management-relevant Submandibular nodes finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Submandibular nodes finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",JTA_JES_THYROID_STORM_2016,JTA_JES_THYROID_STORM_2016; SM25; AHRQ_CALIBRATE_DX,,,A,easy,1.5,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; heent; infection; inpatient_bedside; malignancy; myxedema; thyroid_disease; thyroid_storm
EXAM-067-submental-nodes,67,90aa0c7f,HEENT 10,thyroid_storm; myxedema,"Thyroid enlargement, thyroid emergency severity, or compressive neck findings","Have you had palpitations, heat or cold intolerance, neck discomfort, or new confusion?",No / Palpitations / Heat intolerance / Cold intolerance / Neck discomfort / Confusion / Other ___,diagnostic_safety; heent; infection; inpatient_bedside; malignancy; myxedema; thyroid_disease; thyroid_storm,"A management-relevant Submental nodes finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Submental nodes finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",JTA_JES_THYROID_STORM_2016,JTA_JES_THYROID_STORM_2016; SM25; AHRQ_CALIBRATE_DX,,,A,easy,1.5,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; heent; infection; inpatient_bedside; malignancy; myxedema; thyroid_disease; thyroid_storm
EXAM-068-anterior-cervical-nodes,68,af56805f,HEENT 10,thyroid_nodule; thyroid_cancer; neck_mass,"Cervical adenopathy suggesting thyroid cancer risk, infection, or neck-mass spread","Any enlarging neck mass, hoarseness, trouble swallowing, radiation exposure, family thyroid cancer, or MEN2 history?",No / Neck mass / Hoarseness / Dysphagia / Radiation history / Family thyroid cancer or MEN2 / Other ___,heent; infection; malignancy; neck_mass; thyroid_cancer; thyroid_disease; thyroid_nodule,"Suspicious cervical nodes can change thyroid ultrasound/nodal mapping, FNA planning, cancer referral urgency, or infectious workup.","Suspicious cervical nodes can change thyroid ultrasound/nodal mapping, FNA planning, cancer referral urgency, or infectious workup.",ATA_THYROID_NODULE_DTC_2015,ATA_THYROID_NODULE_DTC_2015; ATA_THYROID_CANCER_2025; SM25,,,A,easy,1.5,none,low,inpatient bedside; consult rounds; outpatient clinic,"Interpret with thyroid palpation, ultrasound, cytology, and infection context; small or deep nodes can be missed by palpation.",heent; infection; malignancy; neck_mass; thyroid_cancer; thyroid_disease; thyroid_nodule
EXAM-069-posterior-cervical-nodes,69,37afc1f1,HEENT 10,thyroid_nodule; thyroid_cancer; neck_mass,"Cervical adenopathy suggesting thyroid cancer risk, infection, or neck-mass spread","Any enlarging neck mass, hoarseness, trouble swallowing, radiation exposure, family thyroid cancer, or MEN2 history?",No / Neck mass / Hoarseness / Dysphagia / Radiation history / Family thyroid cancer or MEN2 / Other ___,heent; infection; malignancy; neck_mass; thyroid_cancer; thyroid_disease; thyroid_nodule,"Suspicious cervical nodes can change thyroid ultrasound/nodal mapping, FNA planning, cancer referral urgency, or infectious workup.","Suspicious cervical nodes can change thyroid ultrasound/nodal mapping, FNA planning, cancer referral urgency, or infectious workup.",ATA_THYROID_NODULE_DTC_2015,ATA_THYROID_NODULE_DTC_2015; ATA_THYROID_CANCER_2025; SM25,,,A,easy,1.5,none,low,inpatient bedside; consult rounds; outpatient clinic,"Interpret with thyroid palpation, ultrasound, cytology, and infection context; small or deep nodes can be missed by palpation.",heent; infection; malignancy; neck_mass; thyroid_cancer; thyroid_disease; thyroid_nodule
EXAM-070-supraclavicular-nodes,70,285dde47,HEENT 10,thyroid_nodule; thyroid_cancer; neck_mass,"Supraclavicular adenopathy suggesting malignancy risk or systemic disease","Any enlarging neck mass, hoarseness, trouble swallowing, radiation exposure, family thyroid cancer, or MEN2 history?",No / Neck mass / Hoarseness / Dysphagia / Radiation history / Family thyroid cancer or MEN2 / Other ___,heent; infection; malignancy; neck_mass; thyroid_cancer; thyroid_disease; thyroid_nodule,"Supraclavicular adenopathy can change thyroid cancer risk framing, nodal ultrasound mapping, FNA planning, and referral urgency.","Supraclavicular adenopathy can change thyroid cancer risk framing, nodal ultrasound mapping, FNA planning, and referral urgency.",ATA_THYROID_NODULE_DTC_2015,ATA_THYROID_NODULE_DTC_2015; ATA_THYROID_CANCER_2025; SM25,,,A,easy,1.5,none,low,inpatient bedside; consult rounds; outpatient clinic,"Interpret with thyroid palpation, ultrasound, cytology, and infection context; small or deep nodes can be missed by palpation.",heent; infection; malignancy; neck_mass; thyroid_cancer; thyroid_disease; thyroid_nodule
EXAM-071-thyroid-exam,71,34640c72,HEENT 11,thyroid_disease; graves; hypothyroidism; hyperthyroidism; thyroid_nodule; thyroid_cancer,"Thyroid enlargement, nodularity, tenderness, bruit, asymmetry, or compressive neck findings","Any palpitations, heat or cold intolerance, neck swelling, pain, hoarseness, trouble swallowing, eye symptoms, or family thyroid cancer/MEN2 history?",No / Palpitations / Heat intolerance / Cold intolerance / Neck swelling / Neck pain / Hoarseness or dysphagia / Eye symptoms / Family thyroid cancer or MEN2 / Other ___,graves; hashimoto; heent; hyperthyroidism; hypothyroidism; malignancy; neck_mass; thyroid_cancer; thyroid_disease; thyroid_nodule,"Goiter, nodules, tenderness, bruit, asymmetry, or compressive findings can change thyroid lab interpretation, uptake/antibody workup, ultrasound/FNA planning, beta-blocker urgency, or referral.","Goiter, nodules, tenderness, bruit, asymmetry, or compressive findings can change thyroid lab interpretation, uptake/antibody workup, ultrasound/FNA planning, beta-blocker urgency, or referral.",ATA_HYPERTHYROIDISM_2016,ATA_HYPERTHYROIDISM_2016; ATA_HYPOTHYROIDISM_2014; ATA_THYROID_NODULE_DTC_2015; ATA_THYROID_CANCER_2025; SM25,,,A,easy,2,none,moderate,inpatient bedside; consult rounds; outpatient clinic,"Technique and patient cooperation can limit reliability; palpation does not replace ultrasound when a nodule, cancer risk, or compressive symptom is present.",graves; hashimoto; heent; hyperthyroidism; hypothyroidism; malignancy; neck_mass; thyroid_cancer; thyroid_disease; thyroid_nodule
