exam_system,section,region_or_subsection,maneuver_or_finding,source_item,patient_instruction_or_setup,examiner_technique,how_to_perform,observe_or_positive_finding,function_or_clinical_use,suggested_checklist_label,suggested_options,include_when,exam_id
Cardiopulmonary,Pulmonary Exam,Posterior thorax,Inspect posterior thorax,Cardiopulmonary 4,Allow back exposure with gown opened,Inspect posterior thorax,"Set up or position the patient: Allow back exposure with gown opened. Perform the maneuver: Inspect posterior thorax. Assess and document: Deformity, asymmetry, respiratory effort.","Deformity, asymmetry, respiratory effort",Screens posterior chest appearance,Posterior thorax inspection,Normal / Increased work / Asymmetric / Deformity,Dyspnea; pulmonary exam,cardiopulmonary_pulmonary_exam_posterior_thorax_inspect_posterior_thorax
Cardiopulmonary,Pulmonary Exam,Posterior thorax,Tactile fremitus,Cardiopulmonary 5,Say toy boat or 99 at each level,Use ulnar hands or MCP palmar surface at least 3 levels bilaterally; avoid scapulae,"Set up or position the patient: Say toy boat or 99 at each level. Perform the maneuver: Use ulnar hands or MCP palmar surface at least 3 levels bilaterally; avoid scapulae. Assess and document: Increased, decreased, asymmetric fremitus.","Increased, decreased, asymmetric fremitus",Screens consolidation or effusion patterns,Tactile fremitus,Symmetric / Increased / Decreased / Asymmetric,Pneumonia; effusion; pulmonary exam,cardiopulmonary_pulmonary_exam_posterior_thorax_tactile_fremitus
Cardiopulmonary,Pulmonary Exam,Posterior thorax,Percuss posterior lung fields,Cardiopulmonary 6,Sit still,Percuss posterior lung fields at least 3 levels bilaterally; avoid scapulae,Set up or position the patient: Sit still. Perform the maneuver: Percuss posterior lung fields at least 3 levels bilaterally; avoid scapulae. Assess and document: Dullness or hyperresonance.,Dullness or hyperresonance,"Screens consolidation, effusion, hyperinflation",Posterior lung percussion,Resonant / Dull / Hyperresonant / Asymmetric,Pneumonia; effusion; COPD/asthma,cardiopulmonary_pulmonary_exam_posterior_thorax_percuss_posterior_lung_fields
Cardiopulmonary,Pulmonary Exam,Posterior thorax,Auscultate posterior lung fields,Cardiopulmonary 7,Take deep breaths through mouth if able,Auscultate posterior lung fields at least 3 levels bilaterally with diaphragm; avoid scapulae,"Set up or position the patient: Take deep breaths through mouth if able. Perform the maneuver: Auscultate posterior lung fields at least 3 levels bilaterally with diaphragm; avoid scapulae. Assess and document: Crackles, wheezes, rhonchi, diminished sounds.","Crackles, wheezes, rhonchi, diminished sounds",Screens breath sounds,Posterior lung sounds,Clear / Crackles / Wheezes / Rhonchi / Diminished,Dyspnea; pulmonary disease; infection,cardiopulmonary_pulmonary_exam_posterior_thorax_auscultate_posterior_lung_fields
Cardiopulmonary,Pulmonary Exam,Lateral thorax,Auscultate lateral lung fields,Cardiopulmonary 8,Take deep breaths through mouth if able,Auscultate lateral lung fields at least 1 level bilaterally with diaphragm,"Set up or position the patient: Take deep breaths through mouth if able. Perform the maneuver: Auscultate lateral lung fields at least 1 level bilaterally with diaphragm. Assess and document: Crackles, wheezes, rhonchi, diminished sounds.","Crackles, wheezes, rhonchi, diminished sounds",Screens lateral breath sounds,Lateral lung sounds,Clear / Crackles / Wheezes / Rhonchi / Diminished,Dyspnea; pulmonary exam,cardiopulmonary_pulmonary_exam_lateral_thorax_auscultate_lateral_lung_fields
Cardiopulmonary,Pulmonary Exam,Anterior thorax,Inspect anterior thorax,Cardiopulmonary 9,Lower gown to expose upper chest as appropriate,Inspect anterior thorax,"Set up or position the patient: Lower gown to expose upper chest as appropriate. Perform the maneuver: Inspect anterior thorax. Assess and document: Retractions, deformity, effort.","Retractions, deformity, effort",Screens anterior chest appearance,Anterior thorax inspection,Normal / Increased work / Asymmetric / Deformity,Dyspnea; pulmonary exam,cardiopulmonary_pulmonary_exam_anterior_thorax_inspect_anterior_thorax
Cardiopulmonary,Pulmonary Exam,Anterior thorax,Percuss anterior lung fields,Cardiopulmonary 10,Sit still,Percuss anterior lung fields at least 1 level bilaterally below clavicle,Set up or position the patient: Sit still. Perform the maneuver: Percuss anterior lung fields at least 1 level bilaterally below clavicle. Assess and document: Dullness or hyperresonance.,Dullness or hyperresonance,Screens anterior lung percussion,Anterior lung percussion,Resonant / Dull / Hyperresonant / Asymmetric,Pulmonary exam,cardiopulmonary_pulmonary_exam_anterior_thorax_percuss_anterior_lung_fields
Cardiopulmonary,Pulmonary Exam,Anterior thorax,Auscultate anterior lung fields,Cardiopulmonary 11,Take deep breaths through mouth if able,Auscultate anterior lung fields at least 1 level bilaterally below clavicle with diaphragm,"Set up or position the patient: Take deep breaths through mouth if able. Perform the maneuver: Auscultate anterior lung fields at least 1 level bilaterally below clavicle with diaphragm. Assess and document: Crackles, wheezes, rhonchi, diminished sounds.","Crackles, wheezes, rhonchi, diminished sounds",Screens anterior breath sounds,Anterior lung sounds,Clear / Crackles / Wheezes / Rhonchi / Diminished,Dyspnea; pulmonary exam,cardiopulmonary_pulmonary_exam_anterior_thorax_auscultate_anterior_lung_fields
Cardiopulmonary,Vascular Exam,Setup,Vascular positioning,Cardiopulmonary 12,Lie back at 30 degrees,Adjust table to 30 degrees; lift foot extension; drape,Set up or position the patient: Lie back at 30 degrees. Perform the maneuver: Adjust table to 30 degrees; lift foot extension; drape. Assess and document: Appropriate position for JVP and vascular exam.,Appropriate position for JVP and vascular exam,Vascular exam setup,Vascular exam setup,Completed / Limited / Deferred,Volume status; heart failure; vascular exam,cardiopulmonary_vascular_exam_setup_vascular_positioning
Cardiopulmonary,Vascular Exam,Neck,JVP,Cardiopulmonary 13,Turn head slightly left while lying at 30 degrees,Stand on patient's right; observe jugular venous pulsations,Set up or position the patient: Turn head slightly left while lying at 30 degrees. Perform the maneuver: Stand on patient's right; observe jugular venous pulsations. Assess and document: Elevated JVP or not visible.,Elevated JVP or not visible,Screens volume status/right-sided pressure,JVP,Not elevated / Elevated / Unable to assess,Heart failure; volume overload; shock,cardiopulmonary_vascular_exam_neck_jvp
Cardiopulmonary,Vascular Exam,Neck,Carotid auscultation and palpation,Cardiopulmonary 14,Hold breath during auscultation,Auscultate carotids bilaterally with diaphragm or bell; palpate one at a time,"Set up or position the patient: Hold breath during auscultation. Perform the maneuver: Auscultate carotids bilaterally with diaphragm or bell; palpate one at a time. Assess and document: Bruit, diminished pulse, asymmetry.","Bruit, diminished pulse, asymmetry",Screens carotid bruits and pulse,Carotids,No bruit / Bruit right / Bruit left / Diminished pulse,Vascular disease; stroke risk; syncope,cardiopulmonary_vascular_exam_neck_carotid_auscultation_and_palpation
Cardiopulmonary,Vascular Exam,Upper extremity,Radial pulses,Cardiopulmonary 15,Relax arms,Palpate radial pulses bilaterally and symmetrically,Set up or position the patient: Relax arms. Perform the maneuver: Palpate radial pulses bilaterally and symmetrically. Assess and document: Diminished or asymmetric pulses.,Diminished or asymmetric pulses,Screens peripheral perfusion,Radial pulses,Equal / Diminished right / Diminished left / Absent,Vascular exam; shock; limb symptoms,cardiopulmonary_vascular_exam_upper_extremity_radial_pulses
Cardiopulmonary,Vascular Exam,Lower extremity,Femoral pulses,Cardiopulmonary 16,Relax legs with drape/underwear maintained as appropriate,Palpate femoral pulses bilaterally one at a time,Set up or position the patient: Relax legs with drape/underwear maintained as appropriate. Perform the maneuver: Palpate femoral pulses bilaterally one at a time. Assess and document: Diminished or asymmetric pulses.,Diminished or asymmetric pulses,Screens proximal lower extremity perfusion,Femoral pulses,Equal / Diminished right / Diminished left / Absent,Vascular disease; limb ischemia,cardiopulmonary_vascular_exam_lower_extremity_femoral_pulses
Cardiopulmonary,Vascular Exam,Lower extremity,Posterior tibial pulses,Cardiopulmonary 17,Relax feet,Palpate posterior tibial pulses on skin bilaterally on medial side going lateral,Set up or position the patient: Relax feet. Perform the maneuver: Palpate posterior tibial pulses on skin bilaterally on medial side going lateral. Assess and document: Diminished or absent pulses.,Diminished or absent pulses,Screens distal perfusion,Posterior tibial pulses,Equal / Diminished right / Diminished left / Absent,Diabetes foot exam; vascular disease; edema,cardiopulmonary_vascular_exam_lower_extremity_posterior_tibial_pulses
Cardiopulmonary,Vascular Exam,Lower extremity,Dorsalis pedis pulses,Cardiopulmonary 18,Relax feet,Palpate dorsalis pedis pulses bilaterally on skin,Set up or position the patient: Relax feet. Perform the maneuver: Palpate dorsalis pedis pulses bilaterally on skin. Assess and document: Diminished or absent pulses.,Diminished or absent pulses,Screens distal perfusion,Dorsalis pedis pulses,Equal / Diminished right / Diminished left / Absent,Diabetes foot exam; vascular disease; edema,cardiopulmonary_vascular_exam_lower_extremity_dorsalis_pedis_pulses
Cardiopulmonary,Vascular Exam,Lower extremity,Edema,Cardiopulmonary 19,Relax legs,Apply firm pressure on lower tibia bony surface for at least 5 seconds bilaterally,Set up or position the patient: Relax legs. Perform the maneuver: Apply firm pressure on lower tibia bony surface for at least 5 seconds bilaterally. Assess and document: Pitting edema.,Pitting edema,Screens volume overload or venous disease,Lower extremity edema,None / Trace / 1+ / 2+ / 3+,Heart failure; renal disease; liver disease; edema,cardiopulmonary_vascular_exam_lower_extremity_edema
Cardiopulmonary,Cardiac Exam,Setup,Cardiac draping,Cardiopulmonary 20,Allow exposure of left precordium with permission,Uncover left side of gown to expose precordium,Set up or position the patient: Allow exposure of left precordium with permission. Perform the maneuver: Uncover left side of gown to expose precordium. Assess and document: Appropriate exposure.,Appropriate exposure,"Allows cardiac inspection, palpation, auscultation",Cardiac exam setup,Completed / Limited / Deferred,Cardiac exam,cardiopulmonary_cardiac_exam_setup_cardiac_draping
Cardiopulmonary,Cardiac Exam,Precordium,Inspect apical impulse,Cardiopulmonary 21,Lie comfortably,Inspect apical impulse,Set up or position the patient: Lie comfortably. Perform the maneuver: Inspect apical impulse. Assess and document: Visible apical impulse or heave.,Visible apical impulse or heave,Screens precordial activity,Apical impulse inspection,Not visible / Visible / Heave,Cardiac disease; heart failure,cardiopulmonary_cardiac_exam_precordium_inspect_apical_impulse
Cardiopulmonary,Cardiac Exam,Precordium,Palpate PMI,Cardiopulmonary 22,Lift left breast if needed and comfortable,Palpate point of maximal impulse at 5th ICS left MCL,Set up or position the patient: Lift left breast if needed and comfortable. Perform the maneuver: Palpate point of maximal impulse at 5th ICS left MCL. Assess and document: Displaced or diffuse PMI.,Displaced or diffuse PMI,Screens cardiac size/activity,PMI,Normal / Displaced / Diffuse / Unable,Heart failure; cardiomyopathy,cardiopulmonary_cardiac_exam_precordium_palpate_pmi
Cardiopulmonary,Cardiac Exam,Auscultation,Auscultate heart with diaphragm and bell,Cardiopulmonary 23,Breathe normally,"Use diaphragm and bell over aortic, pulmonic, tricuspid, and mitral areas","Set up or position the patient: Breathe normally. Perform the maneuver: Use diaphragm and bell over aortic, pulmonic, tricuspid, and mitral areas. Assess and document: Murmur, rub, gallop, abnormal heart sound.","Murmur, rub, gallop, abnormal heart sound",Screens cardiac auscultation across valve areas,Heart sounds,Normal / Murmur / Rub / Gallop / Other ___,Cardiac exam; chest pain; dyspnea; murmur,cardiopulmonary_cardiac_exam_auscultation_auscultate_heart_with_diaphragm_and_bell
Cardiopulmonary,Cardiac Exam,Auscultation,Aortic area,Cardiopulmonary 23,Breathe normally,Auscultate 2nd intercostal space right sternal border with diaphragm and bell,"Set up or position the patient: Breathe normally. Perform the maneuver: Auscultate 2nd intercostal space right sternal border with diaphragm and bell. Assess and document: Murmur, abnormal heart sound.","Murmur, abnormal heart sound",Aortic valve listening area,Aortic area,Normal / Murmur / Abnormal sound,Cardiac exam; chest pain; murmur,cardiopulmonary_cardiac_exam_auscultation_aortic_area
Cardiopulmonary,Cardiac Exam,Auscultation,Pulmonic area,Cardiopulmonary 23,Breathe normally,Auscultate 2nd intercostal space left sternal border with diaphragm and bell,"Set up or position the patient: Breathe normally. Perform the maneuver: Auscultate 2nd intercostal space left sternal border with diaphragm and bell. Assess and document: Murmur, abnormal heart sound.","Murmur, abnormal heart sound",Pulmonic valve listening area,Pulmonic area,Normal / Murmur / Abnormal sound,Cardiac exam; chest pain; murmur,cardiopulmonary_cardiac_exam_auscultation_pulmonic_area
Cardiopulmonary,Cardiac Exam,Auscultation,Tricuspid area,Cardiopulmonary 23,Breathe normally,Auscultate 4th-5th intercostal space left sternal border with diaphragm and bell,"Set up or position the patient: Breathe normally. Perform the maneuver: Auscultate 4th-5th intercostal space left sternal border with diaphragm and bell. Assess and document: Murmur, abnormal heart sound.","Murmur, abnormal heart sound",Tricuspid valve listening area,Tricuspid area,Normal / Murmur / Abnormal sound,Cardiac exam; chest pain; murmur,cardiopulmonary_cardiac_exam_auscultation_tricuspid_area
Cardiopulmonary,Cardiac Exam,Auscultation,Mitral area,Cardiopulmonary 23,Breathe normally,Auscultate 5th intercostal space left midclavicular line with diaphragm and bell,"Set up or position the patient: Breathe normally. Perform the maneuver: Auscultate 5th intercostal space left midclavicular line with diaphragm and bell. Assess and document: Murmur, abnormal heart sound.","Murmur, abnormal heart sound",Mitral valve listening area,Mitral area,Normal / Murmur / Abnormal sound,Cardiac exam; chest pain; murmur,cardiopulmonary_cardiac_exam_auscultation_mitral_area
MSK,Shoulder,Inspection,Inspect shoulders,MSK Shoulder,Sit or stand with shoulders exposed as appropriate,Inspect shoulders,"Set up or position the patient: Sit or stand with shoulders exposed as appropriate. Perform the maneuver: Inspect shoulders. Assess and document: Asymmetry, deformity, swelling, erythema.","Asymmetry, deformity, swelling, erythema",Screens shoulder appearance,Shoulder inspection,Normal / Swelling / Deformity / Erythema / Asymmetric,Shoulder pain; MSK exam,msk_shoulder_inspection_inspect_shoulders
MSK,Shoulder,Palpation,Palpate shoulders,MSK Shoulder,Relax shoulders,Palpate shoulders on skin one at a time,"Set up or position the patient: Relax shoulders. Perform the maneuver: Palpate shoulders on skin one at a time. Assess and document: Tenderness, warmth, swelling.","Tenderness, warmth, swelling",Screens focal shoulder tenderness,Shoulder palpation,Nontender / Tender / Warm / Swollen,Shoulder pain; trauma,msk_shoulder_palpation_palpate_shoulders
MSK,Shoulder,Range of Motion,Flexion,MSK Shoulder ROM,Raise arms forward overhead,Observe active shoulder flexion,Set up or position the patient: Raise arms forward overhead. Perform the maneuver: Observe active shoulder flexion. Assess and document: Limited motion or pain.,Limited motion or pain,Screens shoulder flexion ROM,Shoulder flexion,Full / Limited by pain / Limited / Unable,Shoulder pain; MSK exam,msk_shoulder_range_of_motion_flexion
MSK,Shoulder,Range of Motion,Extension,MSK Shoulder ROM,"Lower arms, then raise straight behind back",Observe active shoulder extension,"Set up or position the patient: Lower arms, then raise straight behind back. Perform the maneuver: Observe active shoulder extension. Assess and document: Limited motion or pain.",Limited motion or pain,Screens shoulder extension ROM,Shoulder extension,Full / Limited by pain / Limited / Unable,Shoulder pain; MSK exam,msk_shoulder_range_of_motion_extension
MSK,Shoulder,Range of Motion,Abduction,MSK Shoulder ROM,Start palms open at side; raise arms laterally overhead and cross arms,Observe active shoulder abduction,Set up or position the patient: Start palms open at side; raise arms laterally overhead and cross arms. Perform the maneuver: Observe active shoulder abduction. Assess and document: Limited motion or pain.,Limited motion or pain,Screens shoulder abduction ROM,Shoulder abduction,Full / Limited by pain / Limited / Unable,Shoulder pain; rotator cuff concern,msk_shoulder_range_of_motion_abduction
MSK,Shoulder,Range of Motion,Adduction,MSK Shoulder ROM,Lower arms and cross in front of body,Observe shoulder adduction,Set up or position the patient: Lower arms and cross in front of body. Perform the maneuver: Observe shoulder adduction. Assess and document: Limited motion or pain.,Limited motion or pain,Screens shoulder adduction ROM,Shoulder adduction,Full / Limited by pain / Limited / Unable,Shoulder pain; MSK exam,msk_shoulder_range_of_motion_adduction
MSK,Shoulder,Range of Motion,External rotation,MSK Shoulder ROM,Put hands behind neck with elbows out,Observe external rotation,Set up or position the patient: Put hands behind neck with elbows out. Perform the maneuver: Observe external rotation. Assess and document: Limited motion or pain.,Limited motion or pain,Screens shoulder external rotation,Shoulder external rotation,Full / Limited by pain / Limited / Unable,Shoulder pain; rotator cuff concern,msk_shoulder_range_of_motion_external_rotation
MSK,Shoulder,Range of Motion,Internal rotation,MSK Shoulder ROM,"Put hands behind back and raise as high as possible, crossing hands",Observe from behind,"Set up or position the patient: Put hands behind back and raise as high as possible, crossing hands. Perform the maneuver: Observe from behind. Assess and document: Limited motion or pain.",Limited motion or pain,Screens shoulder internal rotation,Shoulder internal rotation,Full / Limited by pain / Limited / Unable,Shoulder pain; rotator cuff concern,msk_shoulder_range_of_motion_internal_rotation
MSK,Elbow,Inspection,Inspect elbows,MSK Elbow,Expose elbows,Inspect elbows,"Set up or position the patient: Expose elbows. Perform the maneuver: Inspect elbows. Assess and document: Swelling, deformity, erythema.","Swelling, deformity, erythema",Screens elbow appearance,Elbow inspection,Normal / Swelling / Deformity / Erythema,Elbow pain; trauma,msk_elbow_inspection_inspect_elbows
MSK,Elbow,Palpation,Palpate elbows,MSK Elbow,Relax arms,Palpate elbows on skin,"Set up or position the patient: Relax arms. Perform the maneuver: Palpate elbows on skin. Assess and document: Tenderness, warmth, swelling.","Tenderness, warmth, swelling",Screens focal elbow tenderness,Elbow palpation,Nontender / Tender / Warm / Swollen,Elbow pain; MSK exam,msk_elbow_palpation_palpate_elbows
MSK,Elbow,Range of Motion,Flexion,MSK Elbow ROM,Bend elbows,Observe flexion,Set up or position the patient: Bend elbows. Perform the maneuver: Observe flexion. Assess and document: Limited motion or pain.,Limited motion or pain,Screens elbow flexion,Elbow flexion,Full / Limited by pain / Limited / Unable,Elbow pain; MSK exam,msk_elbow_range_of_motion_flexion
MSK,Elbow,Range of Motion,Extension,MSK Elbow ROM,Straighten elbows,Observe extension,Set up or position the patient: Straighten elbows. Perform the maneuver: Observe extension. Assess and document: Limited motion or pain.,Limited motion or pain,Screens elbow extension,Elbow extension,Full / Limited by pain / Limited / Unable,Elbow pain; MSK exam,msk_elbow_range_of_motion_extension
MSK,Elbow,Range of Motion,Pronation,MSK Elbow ROM,Elbows at sides flexed 90 degrees; turn palms down,Observe pronation,Set up or position the patient: Elbows at sides flexed 90 degrees; turn palms down. Perform the maneuver: Observe pronation. Assess and document: Limited motion or pain.,Limited motion or pain,Screens forearm pronation,Forearm pronation,Full / Limited by pain / Limited / Unable,Elbow/wrist pain; MSK exam,msk_elbow_range_of_motion_pronation
MSK,Elbow,Range of Motion,Supination,MSK Elbow ROM,Elbows at sides flexed 90 degrees; turn palms up,Observe supination,Set up or position the patient: Elbows at sides flexed 90 degrees; turn palms up. Perform the maneuver: Observe supination. Assess and document: Limited motion or pain.,Limited motion or pain,Screens forearm supination,Forearm supination,Full / Limited by pain / Limited / Unable,Elbow/wrist pain; MSK exam,msk_elbow_range_of_motion_supination
MSK,Wrist,Inspection,Inspect wrists,MSK Wrist,Expose wrists,Inspect wrists,"Set up or position the patient: Expose wrists. Perform the maneuver: Inspect wrists. Assess and document: Swelling, deformity, erythema.","Swelling, deformity, erythema",Screens wrist appearance,Wrist inspection,Normal / Swelling / Deformity / Erythema,Wrist pain; trauma,msk_wrist_inspection_inspect_wrists
MSK,Wrist,Palpation,Palpate wrists,MSK Wrist,Relax wrists,Palpate all around wrist on skin,"Set up or position the patient: Relax wrists. Perform the maneuver: Palpate all around wrist on skin. Assess and document: Tenderness, warmth, swelling.","Tenderness, warmth, swelling",Screens focal wrist tenderness,Wrist palpation,Nontender / Tender / Warm / Swollen,Wrist pain; MSK exam,msk_wrist_palpation_palpate_wrists
MSK,Wrist,Range of Motion,Extension,MSK Wrist ROM,Make fists with dorsum facing upward; move fists toward ceiling,Observe wrist extension,Set up or position the patient: Make fists with dorsum facing upward; move fists toward ceiling. Perform the maneuver: Observe wrist extension. Assess and document: Limited motion or pain.,Limited motion or pain,Screens wrist extension ROM,Wrist extension ROM,Full / Limited by pain / Limited / Unable,Wrist pain; MSK exam,msk_wrist_range_of_motion_extension
MSK,Wrist,Range of Motion,Flexion,MSK Wrist ROM,Make fists with dorsum facing upward; move fists toward floor,Observe wrist flexion,Set up or position the patient: Make fists with dorsum facing upward; move fists toward floor. Perform the maneuver: Observe wrist flexion. Assess and document: Limited motion or pain.,Limited motion or pain,Screens wrist flexion ROM,Wrist flexion ROM,Full / Limited by pain / Limited / Unable,Wrist pain; MSK exam,msk_wrist_range_of_motion_flexion
MSK,Wrist,Range of Motion,Radial deviation,MSK Wrist ROM,Move fists inward,Observe radial deviation,Set up or position the patient: Move fists inward. Perform the maneuver: Observe radial deviation. Assess and document: Limited motion or pain.,Limited motion or pain,Screens wrist radial deviation,Wrist radial deviation,Full / Limited by pain / Limited / Unable,Wrist pain; MSK exam,msk_wrist_range_of_motion_radial_deviation
MSK,Wrist,Range of Motion,Ulnar deviation,MSK Wrist ROM,Move fists outward,Observe ulnar deviation,Set up or position the patient: Move fists outward. Perform the maneuver: Observe ulnar deviation. Assess and document: Limited motion or pain.,Limited motion or pain,Screens wrist ulnar deviation,Wrist ulnar deviation,Full / Limited by pain / Limited / Unable,Wrist pain; MSK exam,msk_wrist_range_of_motion_ulnar_deviation
MSK,Hand,Inspection,Inspect hands,MSK Hand,Show dorsal and palmar hand surfaces,Inspect hands,"Set up or position the patient: Show dorsal and palmar hand surfaces. Perform the maneuver: Inspect hands. Assess and document: Swelling, deformity, erythema, nodules.","Swelling, deformity, erythema, nodules",Screens hand appearance,Hand inspection,Normal / Swelling / Deformity / Erythema / Nodules,Hand pain; arthritis; MSK exam,msk_hand_inspection_inspect_hands
MSK,Hand,Palpation,Palpate MCP PIP DIP joints,MSK Hand,Relax hands,"Palpate MCPs, PIPs, and DIPs on skin; do both sides on each finger at a time","Set up or position the patient: Relax hands. Perform the maneuver: Palpate MCPs, PIPs, and DIPs on skin; do both sides on each finger at a time. Assess and document: Tenderness, swelling, warmth.","Tenderness, swelling, warmth",Screens inflammatory or traumatic hand disease,Hand joint palpation,Nontender / Tender / Swollen / Warm,Hand pain; arthritis,msk_hand_palpation_palpate_mcp_pip_dip_joints
MSK,Hand,Range of Motion,Finger flexion,MSK Hand ROM,Make fists,Observe finger flexion,Set up or position the patient: Make fists. Perform the maneuver: Observe finger flexion. Assess and document: Limited motion or pain.,Limited motion or pain,Screens finger flexion,Finger flexion,Full / Limited / Unable,Hand pain; arthritis; tendon concern,msk_hand_range_of_motion_finger_flexion
MSK,Hand,Range of Motion,Finger extension,MSK Hand ROM,Straighten fingers,Observe finger extension,Set up or position the patient: Straighten fingers. Perform the maneuver: Observe finger extension. Assess and document: Limited motion or pain.,Limited motion or pain,Screens finger extension,Finger extension,Full / Limited / Unable,Hand pain; tendon concern,msk_hand_range_of_motion_finger_extension
MSK,Hand,Range of Motion,Finger abduction,MSK Hand ROM,Spread fingers apart,Observe abduction,Set up or position the patient: Spread fingers apart. Perform the maneuver: Observe abduction. Assess and document: Limited motion or weakness.,Limited motion or weakness,Screens intrinsic hand function,Finger abduction,Full / Limited / Weak / Unable,Ulnar nerve; hand weakness,msk_hand_range_of_motion_finger_abduction
MSK,Hand,Range of Motion,Finger adduction,MSK Hand ROM,Bring fingers together,Observe adduction,Set up or position the patient: Bring fingers together. Perform the maneuver: Observe adduction. Assess and document: Limited motion or weakness.,Limited motion or weakness,Screens intrinsic hand function,Finger adduction,Full / Limited / Weak / Unable,Ulnar nerve; hand weakness,msk_hand_range_of_motion_finger_adduction
MSK,Hand,Range of Motion,Thumb opposition,MSK Hand ROM,Touch thumb to pinky bilaterally,Observe thumb opposition,Set up or position the patient: Touch thumb to pinky bilaterally. Perform the maneuver: Observe thumb opposition. Assess and document: Limited motion or weakness.,Limited motion or weakness,Screens median nerve/thumb opposition,Thumb opposition,Intact / Limited right / Limited left / Unable,Carpal tunnel; hand weakness,msk_hand_range_of_motion_thumb_opposition
MSK,Hip,Inspection,Inspect hips,MSK Hip,Lie back and lower gown to inside of waistband as appropriate,Inspect hips,"Set up or position the patient: Lie back and lower gown to inside of waistband as appropriate. Perform the maneuver: Inspect hips. Assess and document: Asymmetry, deformity, swelling.","Asymmetry, deformity, swelling",Screens hip appearance,Hip inspection,Normal / Asymmetric / Deformity / Swelling,Hip pain; trauma,msk_hip_inspection_inspect_hips
MSK,Hip,Palpation,Palpate hips and greater trochanter,MSK Hip,Lie supine and then side-lying for greater trochanter palpation,Palpate hips on skin; palpate greater trochanter over clothing or skin; do both sides before ROM,"Set up or position the patient: Lie supine and then side-lying for greater trochanter palpation. Perform the maneuver: Palpate hips on skin; palpate greater trochanter over clothing or skin; do both sides before ROM. Assess and document: Tenderness, warmth, swelling.","Tenderness, warmth, swelling",Screens hip/trochanter tenderness,Hip palpation,Nontender / Tender / Warm / Swollen,Hip pain; bursitis; trauma,msk_hip_palpation_palpate_hips_and_greater_trochanter
MSK,Hip,Range of Motion,Flexion,MSK Hip ROM,Bring knee toward chest bilaterally,Observe hip flexion supine,Set up or position the patient: Bring knee toward chest bilaterally. Perform the maneuver: Observe hip flexion supine. Assess and document: Limited motion or pain.,Limited motion or pain,Screens hip flexion ROM,Hip flexion ROM,Full / Limited by pain / Limited / Unable,Hip pain; MSK exam,msk_hip_range_of_motion_flexion
MSK,Hip,Range of Motion,Extension,MSK Hip ROM,Lie on side; allow leg to be pulled backward,Move leg backward in side position,Set up or position the patient: Lie on side; allow leg to be pulled backward. Perform the maneuver: Move leg backward in side position. Assess and document: Limited motion or pain.,Limited motion or pain,Screens hip extension ROM,Hip extension ROM,Full / Limited by pain / Limited / Unable,Hip pain; MSK exam,msk_hip_range_of_motion_extension
MSK,Hip,Range of Motion,Abduction,MSK Hip ROM,Allow leg to move laterally,Hand on opposite ASIS; abduct leg laterally,Set up or position the patient: Allow leg to move laterally. Perform the maneuver: Hand on opposite ASIS; abduct leg laterally. Assess and document: Limited motion or pain.,Limited motion or pain,Screens hip abduction ROM,Hip abduction ROM,Full / Limited by pain / Limited / Unable,Hip pain; MSK exam,msk_hip_range_of_motion_abduction
MSK,Hip,Range of Motion,Adduction,MSK Hip ROM,Allow leg to move medially,Hand on opposite ASIS; adduct leg medially,Set up or position the patient: Allow leg to move medially. Perform the maneuver: Hand on opposite ASIS; adduct leg medially. Assess and document: Limited motion or pain.,Limited motion or pain,Screens hip adduction ROM,Hip adduction ROM,Full / Limited by pain / Limited / Unable,Hip pain; MSK exam,msk_hip_range_of_motion_adduction
MSK,Hip,Range of Motion,Internal rotation,MSK Hip ROM,Relax hip and knee flexed to 90 degrees,"With hip and knee flexed 90 degrees, move ankle laterally","Set up or position the patient: Relax hip and knee flexed to 90 degrees. Perform the maneuver: With hip and knee flexed 90 degrees, move ankle laterally. Assess and document: Limited motion or pain.",Limited motion or pain,Screens hip internal rotation,Hip internal rotation,Full / Limited by pain / Limited / Unable,Hip pain; MSK exam,msk_hip_range_of_motion_internal_rotation
MSK,Hip,Range of Motion,External rotation,MSK Hip ROM,Relax hip and knee flexed to 90 degrees,"With hip and knee flexed 90 degrees, move ankle medially","Set up or position the patient: Relax hip and knee flexed to 90 degrees. Perform the maneuver: With hip and knee flexed 90 degrees, move ankle medially. Assess and document: Limited motion or pain.",Limited motion or pain,Screens hip external rotation,Hip external rotation,Full / Limited by pain / Limited / Unable,Hip pain; MSK exam,msk_hip_range_of_motion_external_rotation
MSK,Knee,Inspection,Inspect knees,MSK Knee,Expose knees,Inspect knees,"Set up or position the patient: Expose knees. Perform the maneuver: Inspect knees. Assess and document: Swelling, deformity, erythema.","Swelling, deformity, erythema",Screens knee appearance,Knee inspection,Normal / Swelling / Deformity / Erythema,Knee pain; trauma,msk_knee_inspection_inspect_knees
MSK,Knee,Palpation,Palpate knees,MSK Knee,Relax knees,"Palpate top, bottom, sides, and behind knees on skin","Set up or position the patient: Relax knees. Perform the maneuver: Palpate top, bottom, sides, and behind knees on skin. Assess and document: Tenderness, warmth, effusion.","Tenderness, warmth, effusion",Screens focal knee tenderness/effusion,Knee palpation,Nontender / Tender / Warm / Effusion,Knee pain; trauma; arthritis,msk_knee_palpation_palpate_knees
